Game:   1, Fuel (liter):  737.0, Record_fuel (liter): 737.0, Cost (pay): 22677, Record_cost (pay): 22677, Time (s):    7522, Record_time (s):    7522, Distance (km):   409.86, Record_distance (km):   409.86, Loaders_waiting (s): 14282, Record_loaders_waiting (s): 14282, Dumpers_waiting (s):  2388, Record_dumpers_waiting (s):  2388, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 125, Fuel (liter):  646.7, Record_fuel (liter): 621.5, Cost (pay): 19735, Record_cost (pay): 18966, Time (s):    8970, Record_time (s):    5957, Distance (km):   370.90, Record_distance (km):   346.76, Loaders_waiting (s):  6499, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2146, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 126, Fuel (liter):  801.4, Record_fuel (liter): 621.5, Cost (pay): 24832, Record_cost (pay): 18966, Time (s):    9159, Record_time (s):    5957, Distance (km):   432.75, Record_distance (km):   346.76, Loaders_waiting (s): 22824, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1353, Record_dumpers_waiting (s):   858, Dumpers required: 19, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 127, Fuel (liter):  790.0, Record_fuel (liter): 621.5, Cost (pay): 24517, Record_cost (pay): 18966, Time (s):   10923, Record_time (s):    5957, Distance (km):   436.98, Record_distance (km):   346.76, Loaders_waiting (s): 14860, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  7611, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 128, Fuel (liter):  713.5, Record_fuel (liter): 621.5, Cost (pay): 21902, Record_cost (pay): 18966, Time (s):    7835, Record_time (s):    5957, Distance (km):   405.11, Record_distance (km):   346.76, Loaders_waiting (s):  8471, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5040, Record_dumpers_waiting (s):   858, Dumpers required: 21, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 129, Fuel (liter):  654.6, Record_fuel (liter): 621.5, Cost (pay): 20043, Record_cost (pay): 18966, Time (s):    7110, Record_time (s):    5957, Distance (km):   376.22, Record_distance (km):   346.76, Loaders_waiting (s):  5414, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4405, Record_dumpers_waiting (s):   858, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 130, Fuel (liter):  702.1, Record_fuel (liter): 621.5, Cost (pay): 21796, Record_cost (pay): 18966, Time (s):   12328, Record_time (s):    5957, Distance (km):   382.45, Record_distance (km):   346.76, Loaders_waiting (s): 18076, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1655, Record_dumpers_waiting (s):   858, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 131, Fuel (liter):  666.5, Record_fuel (liter): 621.5, Cost (pay): 20322, Record_cost (pay): 18966, Time (s):    6080, Record_time (s):    5957, Distance (km):   387.80, Record_distance (km):   346.76, Loaders_waiting (s):  2711, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5329, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 132, Fuel (liter):  652.7, Record_fuel (liter): 621.5, Cost (pay): 19934, Record_cost (pay): 18966, Time (s):    6309, Record_time (s):    5957, Distance (km):   378.83, Record_distance (km):   346.76, Loaders_waiting (s):  3207, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5083, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 133, Fuel (liter):  640.7, Record_fuel (liter): 621.5, Cost (pay): 19545, Record_cost (pay): 18966, Time (s):    7143, Record_time (s):    5957, Distance (km):   370.79, Record_distance (km):   346.76, Loaders_waiting (s):  4215, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3527, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 134, Fuel (liter):  651.8, Record_fuel (liter): 621.5, Cost (pay): 19941, Record_cost (pay): 18966, Time (s):    7639, Record_time (s):    5957, Distance (km):   372.89, Record_distance (km):   346.76, Loaders_waiting (s):  6747, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3029, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 135, Fuel (liter):  649.9, Record_fuel (liter): 621.5, Cost (pay): 19811, Record_cost (pay): 18966, Time (s):    8119, Record_time (s):    5957, Distance (km):   371.51, Record_distance (km):   346.76, Loaders_waiting (s):  6832, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3194, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 136, Fuel (liter):  657.5, Record_fuel (liter): 621.5, Cost (pay): 20323, Record_cost (pay): 18966, Time (s):   14098, Record_time (s):    5957, Distance (km):   365.94, Record_distance (km):   346.76, Loaders_waiting (s): 12426, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2560, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 137, Fuel (liter):  655.3, Record_fuel (liter): 621.5, Cost (pay): 20257, Record_cost (pay): 18966, Time (s):   15206, Record_time (s):    5957, Distance (km):   364.69, Record_distance (km):   346.76, Loaders_waiting (s): 12423, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2507, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 138, Fuel (liter):  643.7, Record_fuel (liter): 621.5, Cost (pay): 19662, Record_cost (pay): 18966, Time (s):    7387, Record_time (s):    5957, Distance (km):   370.93, Record_distance (km):   346.76, Loaders_waiting (s):  5124, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3399, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 139, Fuel (liter):  645.8, Record_fuel (liter): 621.5, Cost (pay): 19757, Record_cost (pay): 18966, Time (s):    9494, Record_time (s):    5957, Distance (km):   369.57, Record_distance (km):   346.76, Loaders_waiting (s):  6715, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2804, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 140, Fuel (liter):  645.6, Record_fuel (liter): 621.5, Cost (pay): 19771, Record_cost (pay): 18966, Time (s):   10067, Record_time (s):    5957, Distance (km):   367.76, Record_distance (km):   346.76, Loaders_waiting (s):  7735, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2402, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 141, Fuel (liter):  639.5, Record_fuel (liter): 621.5, Cost (pay): 19545, Record_cost (pay): 18966, Time (s):    7609, Record_time (s):    5957, Distance (km):   368.49, Record_distance (km):   346.76, Loaders_waiting (s):  5058, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3520, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 142, Fuel (liter):  651.9, Record_fuel (liter): 621.5, Cost (pay): 20020, Record_cost (pay): 18966, Time (s):    9253, Record_time (s):    5957, Distance (km):   370.30, Record_distance (km):   346.76, Loaders_waiting (s):  8099, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3301, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 143, Fuel (liter):  640.0, Record_fuel (liter): 621.5, Cost (pay): 19628, Record_cost (pay): 18966, Time (s):    9468, Record_time (s):    5957, Distance (km):   365.13, Record_distance (km):   346.76, Loaders_waiting (s):  7104, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3190, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 144, Fuel (liter):  663.8, Record_fuel (liter): 621.5, Cost (pay): 20582, Record_cost (pay): 18966, Time (s):   13696, Record_time (s):    5957, Distance (km):   368.08, Record_distance (km):   346.76, Loaders_waiting (s): 13001, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3465, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 145, Fuel (liter):  631.3, Record_fuel (liter): 621.5, Cost (pay): 19239, Record_cost (pay): 18966, Time (s):    6191, Record_time (s):    5957, Distance (km):   366.96, Record_distance (km):   346.76, Loaders_waiting (s):  3221, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3656, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 146, Fuel (liter):  646.3, Record_fuel (liter): 621.5, Cost (pay): 19808, Record_cost (pay): 18966, Time (s):    8973, Record_time (s):    5957, Distance (km):   368.30, Record_distance (km):   346.76, Loaders_waiting (s):  7534, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2844, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 147, Fuel (liter):  643.4, Record_fuel (liter): 621.5, Cost (pay): 19762, Record_cost (pay): 18966, Time (s):   10873, Record_time (s):    5957, Distance (km):   364.78, Record_distance (km):   346.76, Loaders_waiting (s):  8494, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2794, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 148, Fuel (liter):  702.8, Record_fuel (liter): 621.5, Cost (pay): 22170, Record_cost (pay): 18966, Time (s):   19398, Record_time (s):    5957, Distance (km):   369.31, Record_distance (km):   346.76, Loaders_waiting (s): 24940, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2718, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 149, Fuel (liter):  647.6, Record_fuel (liter): 621.5, Cost (pay): 19814, Record_cost (pay): 18966, Time (s):    6269, Record_time (s):    5957, Distance (km):   375.39, Record_distance (km):   346.76, Loaders_waiting (s):  3251, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5546, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 150, Fuel (liter):  641.8, Record_fuel (liter): 621.5, Cost (pay): 19658, Record_cost (pay): 18966, Time (s):    6950, Record_time (s):    5957, Distance (km):   370.30, Record_distance (km):   346.76, Loaders_waiting (s):  4367, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4866, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 151, Fuel (liter):  850.3, Record_fuel (liter): 621.5, Cost (pay): 27382, Record_cost (pay): 18966, Time (s):   19510, Record_time (s):    5957, Distance (km):   418.49, Record_distance (km):   346.76, Loaders_waiting (s): 44751, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4936, Record_dumpers_waiting (s):   858, Dumpers required: 15, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 152, Fuel (liter):  796.6, Record_fuel (liter): 621.5, Cost (pay): 25453, Record_cost (pay): 18966, Time (s):   17925, Record_time (s):    5957, Distance (km):   412.06, Record_distance (km):   346.76, Loaders_waiting (s): 29620, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  9556, Record_dumpers_waiting (s):   858, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 153, Fuel (liter):  673.7, Record_fuel (liter): 621.5, Cost (pay): 20782, Record_cost (pay): 18966, Time (s):    9264, Record_time (s):    5957, Distance (km):   377.94, Record_distance (km):   346.76, Loaders_waiting (s): 10794, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3677, Record_dumpers_waiting (s):   858, Dumpers required: 19, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 154, Fuel (liter):  698.8, Record_fuel (liter): 621.5, Cost (pay): 21715, Record_cost (pay): 18966, Time (s):   13310, Record_time (s):    5957, Distance (km):   381.48, Record_distance (km):   346.76, Loaders_waiting (s): 17280, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2486, Record_dumpers_waiting (s):   858, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 155, Fuel (liter):  719.0, Record_fuel (liter): 621.5, Cost (pay): 22517, Record_cost (pay): 18966, Time (s):   19332, Record_time (s):    5957, Distance (km):   390.79, Record_distance (km):   346.76, Loaders_waiting (s): 17391, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  6376, Record_dumpers_waiting (s):   858, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 156, Fuel (liter):  632.2, Record_fuel (liter): 621.5, Cost (pay): 19299, Record_cost (pay): 18966, Time (s):    6289, Record_time (s):    5957, Distance (km):   367.93, Record_distance (km):   346.76, Loaders_waiting (s):  2655, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4685, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 157, Fuel (liter):  694.1, Record_fuel (liter): 621.5, Cost (pay): 21710, Record_cost (pay): 18966, Time (s):   15918, Record_time (s):    5957, Distance (km):   379.43, Record_distance (km):   346.76, Loaders_waiting (s): 15674, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  6031, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 158, Fuel (liter):  631.7, Record_fuel (liter): 621.5, Cost (pay): 19201, Record_cost (pay): 18966, Time (s):    6232, Record_time (s):    5957, Distance (km):   368.41, Record_distance (km):   346.76, Loaders_waiting (s):  2705, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3213, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 159, Fuel (liter):  696.7, Record_fuel (liter): 621.5, Cost (pay): 21795, Record_cost (pay): 18966, Time (s):   15903, Record_time (s):    5957, Distance (km):   381.32, Record_distance (km):   346.76, Loaders_waiting (s): 15376, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  6422, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 160, Fuel (liter):  627.0, Record_fuel (liter): 621.5, Cost (pay): 19031, Record_cost (pay): 18966, Time (s):    6155, Record_time (s):    5957, Distance (km):   365.81, Record_distance (km):   346.76, Loaders_waiting (s):  2842, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2484, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 161, Fuel (liter):  639.3, Record_fuel (liter): 621.5, Cost (pay): 19529, Record_cost (pay): 18966, Time (s):    7533, Record_time (s):    5957, Distance (km):   367.41, Record_distance (km):   346.76, Loaders_waiting (s):  5829, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2739, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 162, Fuel (liter):  651.7, Record_fuel (liter): 621.5, Cost (pay): 20472, Record_cost (pay): 18966, Time (s):   14371, Record_time (s):    5957, Distance (km):   347.77, Record_distance (km):   346.76, Loaders_waiting (s): 20487, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1996, Record_dumpers_waiting (s):   858, Dumpers required: 12, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 163, Fuel (liter):  655.6, Record_fuel (liter): 621.5, Cost (pay): 20152, Record_cost (pay): 18966, Time (s):   12679, Record_time (s):    5957, Distance (km):   369.63, Record_distance (km):   346.76, Loaders_waiting (s):  9895, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2427, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 164, Fuel (liter):  657.5, Record_fuel (liter): 621.5, Cost (pay): 20186, Record_cost (pay): 18966, Time (s):   12206, Record_time (s):    5957, Distance (km):   371.58, Record_distance (km):   346.76, Loaders_waiting (s):  9487, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2364, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 165, Fuel (liter):  636.9, Record_fuel (liter): 621.5, Cost (pay): 19391, Record_cost (pay): 18966, Time (s):    7585, Record_time (s):    5957, Distance (km):   366.39, Record_distance (km):   346.76, Loaders_waiting (s):  6055, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1371, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 166, Fuel (liter):  653.3, Record_fuel (liter): 621.5, Cost (pay): 20062, Record_cost (pay): 18966, Time (s):    9499, Record_time (s):    5957, Distance (km):   368.88, Record_distance (km):   346.76, Loaders_waiting (s):  9638, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2210, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 167, Fuel (liter):  642.7, Record_fuel (liter): 621.5, Cost (pay): 19706, Record_cost (pay): 18966, Time (s):   10390, Record_time (s):    5957, Distance (km):   366.35, Record_distance (km):   346.76, Loaders_waiting (s):  7392, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2962, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 168, Fuel (liter):  668.3, Record_fuel (liter): 621.5, Cost (pay): 20708, Record_cost (pay): 18966, Time (s):   15053, Record_time (s):    5957, Distance (km):   369.73, Record_distance (km):   346.76, Loaders_waiting (s): 13703, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2925, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 169, Fuel (liter):  642.3, Record_fuel (liter): 621.5, Cost (pay): 19614, Record_cost (pay): 18966, Time (s):    8652, Record_time (s):    5957, Distance (km):   369.22, Record_distance (km):   346.76, Loaders_waiting (s):  5807, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2753, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 170, Fuel (liter):  631.0, Record_fuel (liter): 621.5, Cost (pay): 19216, Record_cost (pay): 18966, Time (s):    7470, Record_time (s):    5957, Distance (km):   365.11, Record_distance (km):   346.76, Loaders_waiting (s):  4541, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2392, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 171, Fuel (liter):  654.3, Record_fuel (liter): 621.5, Cost (pay): 20217, Record_cost (pay): 18966, Time (s):   12979, Record_time (s):    5957, Distance (km):   362.92, Record_distance (km):   346.76, Loaders_waiting (s): 13321, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1643, Record_dumpers_waiting (s):   858, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 172, Fuel (liter):  645.9, Record_fuel (liter): 621.5, Cost (pay): 19762, Record_cost (pay): 18966, Time (s):   10424, Record_time (s):    5957, Distance (km):   368.01, Record_distance (km):   346.76, Loaders_waiting (s):  7857, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1976, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 173, Fuel (liter):  655.1, Record_fuel (liter): 621.5, Cost (pay): 20206, Record_cost (pay): 18966, Time (s):   15116, Record_time (s):    5957, Distance (km):   365.33, Record_distance (km):   346.76, Loaders_waiting (s): 12249, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1827, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 174, Fuel (liter):  628.1, Record_fuel (liter): 621.5, Cost (pay): 19129, Record_cost (pay): 18966, Time (s):    6238, Record_time (s):    5957, Distance (km):   365.80, Record_distance (km):   346.76, Loaders_waiting (s):  2847, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3617, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 175, Fuel (liter):  637.1, Record_fuel (liter): 621.5, Cost (pay): 19419, Record_cost (pay): 18966, Time (s):    7320, Record_time (s):    5957, Distance (km):   367.94, Record_distance (km):   346.76, Loaders_waiting (s):  4873, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2648, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 176, Fuel (liter):  749.3, Record_fuel (liter): 621.5, Cost (pay): 22963, Record_cost (pay): 18966, Time (s):    7785, Record_time (s):    5957, Distance (km):   422.13, Record_distance (km):   346.76, Loaders_waiting (s): 11270, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3499, Record_dumpers_waiting (s):   858, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 177, Fuel (liter):  813.6, Record_fuel (liter): 621.5, Cost (pay): 26105, Record_cost (pay): 18966, Time (s):   19023, Record_time (s):    5957, Distance (km):   406.54, Record_distance (km):   346.76, Loaders_waiting (s): 39481, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4967, Record_dumpers_waiting (s):   858, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 178, Fuel (liter):  714.0, Record_fuel (liter): 621.5, Cost (pay): 22011, Record_cost (pay): 18966, Time (s):    9529, Record_time (s):    5957, Distance (km):   401.74, Record_distance (km):   346.76, Loaders_waiting (s): 10363, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5265, Record_dumpers_waiting (s):   858, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 179, Fuel (liter):  679.9, Record_fuel (liter): 621.5, Cost (pay): 20963, Record_cost (pay): 18966, Time (s):   13322, Record_time (s):    5957, Distance (km):   378.74, Record_distance (km):   346.76, Loaders_waiting (s): 12798, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2246, Record_dumpers_waiting (s):   858, Dumpers required: 21, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 180, Fuel (liter):  675.7, Record_fuel (liter): 621.5, Cost (pay): 20860, Record_cost (pay): 18966, Time (s):    8171, Record_time (s):    5957, Distance (km):   381.27, Record_distance (km):   346.76, Loaders_waiting (s):  9093, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5344, Record_dumpers_waiting (s):   858, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 181, Fuel (liter):  650.8, Record_fuel (liter): 621.5, Cost (pay): 20024, Record_cost (pay): 18966, Time (s):    9551, Record_time (s):    5957, Distance (km):   369.50, Record_distance (km):   346.76, Loaders_waiting (s):  7869, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  4139, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 182, Fuel (liter):  656.7, Record_fuel (liter): 621.5, Cost (pay): 20751, Record_cost (pay): 18966, Time (s):   15678, Record_time (s):    5957, Distance (km):   343.70, Record_distance (km):   343.70, Loaders_waiting (s): 24417, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1423, Record_dumpers_waiting (s):   858, Dumpers required: 12, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 183, Fuel (liter):  667.6, Record_fuel (liter): 621.5, Cost (pay): 20954, Record_cost (pay): 18966, Time (s):    8046, Record_time (s):    5957, Distance (km):   379.25, Record_distance (km):   343.70, Loaders_waiting (s):  4569, Record_loaders_waiting (s):  2268, Dumpers_waiting (s): 14502, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 184, Fuel (liter):  650.0, Record_fuel (liter): 621.5, Cost (pay): 19969, Record_cost (pay): 18966, Time (s):    9490, Record_time (s):    5957, Distance (km):   370.05, Record_distance (km):   343.70, Loaders_waiting (s):  7432, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3880, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 185, Fuel (liter):  640.4, Record_fuel (liter): 621.5, Cost (pay): 19561, Record_cost (pay): 18966, Time (s):    8145, Record_time (s):    5957, Distance (km):   367.61, Record_distance (km):   343.70, Loaders_waiting (s):  6090, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2601, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 186, Fuel (liter):  632.4, Record_fuel (liter): 621.5, Cost (pay): 19349, Record_cost (pay): 18966, Time (s):    8692, Record_time (s):    5957, Distance (km):   363.00, Record_distance (km):   343.70, Loaders_waiting (s):  5853, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  3082, Record_dumpers_waiting (s):   858, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 187, Fuel (liter):  628.4, Record_fuel (liter): 621.5, Cost (pay): 19295, Record_cost (pay): 18966, Time (s):    9849, Record_time (s):    5957, Distance (km):   357.77, Record_distance (km):   343.70, Loaders_waiting (s):  7435, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2937, Record_dumpers_waiting (s):   858, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 188, Fuel (liter):  671.3, Record_fuel (liter): 621.5, Cost (pay): 21196, Record_cost (pay): 18966, Time (s):   17601, Record_time (s):    5957, Distance (km):   351.87, Record_distance (km):   343.70, Loaders_waiting (s): 24587, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  1745, Record_dumpers_waiting (s):   858, Dumpers required: 18, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 189, Fuel (liter):  649.4, Record_fuel (liter): 621.5, Cost (pay): 19809, Record_cost (pay): 18966, Time (s):    6150, Record_time (s):    5957, Distance (km):   378.09, Record_distance (km):   343.70, Loaders_waiting (s):  2556, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  5058, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game: 190, Fuel (liter):  627.8, Record_fuel (liter): 621.5, Cost (pay): 19018, Record_cost (pay): 18966, Time (s):    6154, Record_time (s):    5957, Distance (km):   367.27, Record_distance (km):   343.70, Loaders_waiting (s):  2449, Record_loaders_waiting (s):  2268, Dumpers_waiting (s):  2138, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
